Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Китай (NoName) 1P72MN (LH173MN)
              ","
$ 908
                                                             
                                                                                   80 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/0/6/a06e06337a7a940c98bcc2cdb80c6ad0_240x180.jpg,        мотоцикл                    
"
        Peugeot XP 6
              ","
$ 2 700
                                                             
                                                                                   237 978 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/6/2/c628abd8729564fa895dc67518488942_240x180.jpg,        мотоцикл                    
"
        E-Moto XJ50QT-2
              ","
$ 250
                                                             
                                                                                   22 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/2/4c2bf9abe9dffd295758ea21ce847aa8_240x180.jpg,        скутер                    
"
        Китай (NoName) Скутеры
              ","
$ 442
                                                             
                                                                                   39 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/2/0/c20c87c957138e2bc10a57ee03129f9f_240x180.jpg,        скутер                    
"
        Yamaha MT-03
              ","
$ 3 500
                                                             
                                                                                   308 490 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/2/b/e2bc504805caa9ced229ef4fef1bd09f_240x180.jpg,        мотоцикл                    
"
        CFMoto CFORCE 850 XC
              ","
$ 13 500
                                                             
                                                                                   1 189 890 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/1/f/e1f071582716ffec6a6fbc1ade218c15_240x180.jpg,        мотовездеход                    
"
        Suzuki Quadsport Z250
              ","
$ 2 212
                                                             
                                                                                   195 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/a/5/2a535751af938aa8afa729db91c0a206_240x180.jpg,        мотовездеход                    
"
        Урал 8103-1
              ","
$ 1 475
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/2/c/92c8697bab0a9f6af4568f6c64b45e64_240x180.jpg,        мотоцикл                    
"
        Ducati 1199 Panigale
              ","
$ 2 950
                                                             
                                                                                   260 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/f/6/2f63cf8ec700c065e72adf5f1ef0144d_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 600 S Thundercat
              ","
$ 4 300
                                                             
                                                                                   379 002 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/7/5/c759fca2cac09a0f37473e0f62bcdde7_240x180.jpg,        мотоцикл                    
"
        Honda VFR
              ","
$ 2 836
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/f/f/6ff682b30f1803af8417f440b559d34c_240x180.jpg,        мотоцикл                    
"
        KAYO T2
              ","
$ 1 622
                                                             
                                                                                   143 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/4/a/14a1dd60599647bf4987d0479467e855_240x180.jpg,        мотоцикл                    
"
        Honda CB 600
              ","
$ 5 800
                                                             
                                                                                   511 212 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/8/d/88d4a98eae63c4446e918607f0b8dd17_240x180.jpg,        мотоцикл                    
"
        ИЖ Планета
              ","
$ 227
                                                             
                                                                                   20 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/3/a/23a6365443016df5003f4f5e63d48edd_240x180.jpg,        мотоцикл                    
"
        City Jet Basic
              ","
$ 794
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/6/6/36601703f480920bbdd3608e1e99470e_240x180.jpg,        скутер                    
"
        Урал M 72
              ","
$ 340
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/e/2/4e2e319eb524c8353b45d72b7cff4880_240x180.jpg,        мотоцикл                    
"
        Honda CB 175
              ","
$ 1 815
                                                             
                                                                                   160 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/5/c/a5c7d12bc04627cd683f50ea1bcac02e_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 2 836
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/b/2/0b27024142fd24593bda3c64c6afa4cf_240x180.jpg,        мотоцикл                    
"
        Honda VT 750
              ","
$ 7 100
                                                             
                                                                                   625 794 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/1/7/c17f06edea30e427591e6927adb78fb7_240x180.jpg,        мотоцикл                    
"
        Suzuki GSF 650 Bandit
              ","
$ 5 900
                                                             
                                                                                   520 026 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/0/1/6019ad807f489c36fb8d325dfdb4025b_240x180.jpg,        мотоцикл                    
"
        Kawasaki VN 900
              ","
$ 7 000
                                                             
                                                                                   616 980 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/9/2/f9236ac528c12319e6b484011d9bed2a_240x180.jpg,        мотоцикл                    
"
        Honda XL
              ","
$ 3 700
                                                             
                                                                                   326 118 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/2/6/1269d16ad7f66d1ed4c4e869fab1beb9_240x180.jpg,        мотоцикл                    
